# filnamn pexels-id
k-hoops 12144990
k-earrings-diamond 20943477
k-ring-white 10581426
k-ring-white2 15727970
k-chains 12495610
k-necklace 12194265
k-necklace-white 7134458
k-necklace-white2 10581731
k-silver-earrings 5370641
k-silver-studs 5370642
k-bracelet 12124662
k-bracelet2 12194316
k-bracelet-diamond 12194325
k-silver-ring-pearl 1395306
k-silver-ring-gem 8398912
k-wedding 6165
h-webdesign-bed 16129877
h-dev-office 35184837
h-program 3888149
h-designer 13451104
h-laptop-desk 6177610
h-workspace 450035
h-laptop-web 109371
h-workplace 5712142
h-laptop-18096280 18096280
h-macbook 7104
